㐖毒	匣開四先入 定一冬入
宣統	心合三仙平 透一冬去
宣言	心合三仙平 疑開三C元平
宣誓	心合三仙平 常開三祭去
宣講	心合三仙平 見二江上
宣讀	心合三仙平 定一東入
宣道	心合三仙平 定開一豪上
室友	書開三真入 云三C尤上
室外	書開三真入 疑合一泰去
室溫	書開三真入 影合一魂平
宦官	匣合二刪去 見合一寒平
宦海	匣合二刪去 曉開一咍上
宦門	匣合二刪去 明一魂平
宮主	見三C東平 章合三虞上
宮人	見三C東平 日開三真平
宮位	見三C東平 云合三B脂去
宮刑	見三C東平 匣開四青平
宮城	見三C東平 常開三清平
宮掖	見三C東平 以開三清入
宮本	見三C東平 幫一魂上
宮縮	見三C東平 生三東入
宮闕	見三C東平 溪合三C元入
宮頸	見三C東平 見開三A清上
宰予	精開一咍上 以開三魚平
宰人	精開一咍上 日開三真平
宰制	精開一咍上 章開三祭去
宰割	精開一咍上 見開一寒入
宰客	精開一咍上 溪開二庚入
宰殺	精開一咍上 生開二山入
害人	匣開一泰去 日開三真平
害口	匣開一泰去 溪一侯上
害命	匣開一泰去 明三B庚去
害喜	匣開一泰去 曉開三C之上
害得	匣開一泰去 端開一登入
害死	匣開一泰去 心開三脂上
害獸	匣開一泰去 書三尤去
害病	匣開一泰去 並三B庚去
害眼	匣開一泰去 疑開二山上
害羞	匣開一泰去 心三尤平
害臊	匣開一泰去 心開一豪平
害馬	匣開一泰去 明二麻上
害鳥	匣開一泰去 端開四蕭上
宴席	影開四先去 邪開三清入
宵夜	心開三宵平 以開三麻去
宵征	心開三宵平 章開三清平
家主	見開二麻平 章合三虞上
家人	見開二麻平 日開三真平
家什	見開二麻平 常開三侵入
家信	見開二麻平 心開三真去
家俱	見開二麻平 見合三C虞平
家僮	見開二麻平 定一東平
家兄	見開二麻平 曉合三B庚平
家公	見開二麻平 見一東平
家具	見開二麻平 羣合三C虞去
家務	見開二麻平 明三C虞去
家叔	見開二麻平 書三東入
家嚴	見開二麻平 疑開三C嚴平
家園	見開二麻平 云合三C元平
家境	見開二麻平 見開三B庚上
家奴	見開二麻平 泥一模平
家姐	見開二麻平 精開三麻上
家姑	見開二麻平 見一模平
家娘	見開二麻平 孃開三陽平
家婆	見開二麻平 並一歌平
家婦	見開二麻平 並三C尤上
家嫂	見開二麻平 心開一豪上
家子	見開二麻平 精開三之上
家宅	見開二麻平 澄開二庚入
家室	見開二麻平 書開三真入
家屬	見開二麻平 常三鍾入
家常	見開二麻平 常開三陽平
家底	見開二麻平 端開四齊上
家庭	見開二麻平 定開四青平
家慈	見開二麻平 從開三之平
家政	見開二麻平 章開三清去
家族	見開二麻平 從一東入
家景	見開二麻平 見開三B庚上
家業	見開二麻平 疑開三C嚴入
家母	見開二麻平 明一侯上
家法	見開二麻平 幫三C凡入
家用	見開二麻平 以三鍾去
家的	見開二麻平 端開四青入
家眷	見開二麻平 見合三B仙去
家祖	見開二麻平 精一模上
家禽	見開二麻平 羣開三B侵平
家私	見開二麻平 心開三脂平
家童	見開二麻平 定一東平
家老	見開二麻平 來開一豪上
家臣	見開二麻平 常開三真平
家舅	見開二麻平 羣三C尤上
家蠅	見開二麻平 以開三蒸平
家蠶	見開二麻平 從開一覃平
家計	見開二麻平 見開四齊去
家訓	見開二麻平 曉合三C文去
家譜	見開二麻平 幫一模上
家道	見開二麻平 定開一豪上
家鄉	見開二麻平 曉開三C陽平
家醜	見開二麻平 昌三尤上
家門	見開二麻平 明一魂平
家電	見開二麻平 定開四先去
家鴉	見開二麻平 影開二麻平
家鴨	見開二麻平 影開二銜入
容克	以三鍾平 溪開一登入
容受	以三鍾平 常三尤上
容器	以三鍾平 溪開三B脂去
容城	以三鍾平 常開三清平
容忍	以三鍾平 日開三真上
容或	以三鍾平 匣合一登入
容止	以三鍾平 章開三之上
容納	以三鍾平 泥開一覃入
容許	以三鍾平 曉開三C魚上
容讓	以三鍾平 日開三陽去
容貌	以三鍾平 明二肴去
容身	以三鍾平 書開三真平
容顏	以三鍾平 疑開二刪平
寂寂	從開四青入 從開四青入
寂寞	從開四青入 明一唐入
寂滅	從開四青入 明三A仙入
寂然	從開四青入 日開三仙平
寂靜	從開四青入 從開三清上
寄主	見開三B支去 章合三虞上
寄名	見開三B支去 明三A清平
寄售	見開三B支去 常三尤去
寄子	見開三B支去 精開三之上
寄存	見開三B支去 從合一魂平
寄懷	見開三B支去 匣合二皆平
寄母	見開三B支去 明一侯上
寄生	見開三B支去 生開三庚平
寄發	見開三B支去 幫三C元入
寄籍	見開三B支去 從開三清入
寄託	見開三B支去 透開一唐入
寄賣	見開三B支去 明二佳去
寄跡	見開三B支去 精開三清入
寄辭	見開三B支去 邪開三之平
寄送	見開三B支去 心一東去
寄銷	見開三B支去 心開三宵平
寄頓	見開三B支去 端合一魂去
密件	明三B真入 羣開三B仙上
密切	明三B真入 清開四先入
密友	明三B真入 云三C尤上
密商	明三B真入 書開三陽平
密報	明三B真入 幫一豪去
密宗	明三B真入 精一冬平
密室	明三B真入 書開三真入
密密	明三B真入 明三B真入
密實	明三B真入 船開三真入
密山	明三B真入 生開二山平
密布	明三B真入 幫一模去
密帳	明三B真入 知開三陽去
密排	明三B真入 並二皆平
密探	明三B真入 透開一覃平
密接	明三B真入 精開三鹽入
密教	明三B真入 見開二肴去
密文	明三B真入 明三C文平
密斯	明三B真入 心開三支平
密林	明三B真入 來開三侵平
密碼	明三B真入 明二麻上
密緻	明三B真入 澄開三脂去
密詔	明三B真入 章開三宵去
密談	明三B真入 定開一談平
密謀	明三B真入 明三C尤平
密送	明三B真入 心一東去
密集	明三B真入 從開三侵入
密雲	明三B真入 云合三C文平
密電	明三B真入 定開四先去
富于	幫三C尤去 云合三C虞平
富人	幫三C尤去 日開三真平
富商	幫三C尤去 書開三陽平
富國	幫三C尤去 見合一登入
富士	幫三C尤去 崇開三之上
富婆	幫三C尤去 並一歌平
富孀	幫三C尤去 生開三陽平
富寧	幫三C尤去 泥開四青平
富庶	幫三C尤去 書開三魚去
富強	幫三C尤去 羣開三C陽平
富態	幫三C尤去 透開一咍去
富時	幫三C尤去 常開三之平
富有	幫三C尤去 云三C尤上
富民	幫三C尤去 明三A真平
富源	幫三C尤去 疑合三C元平
富礦	幫三C尤去 見合二庚上
富翁	幫三C尤去 影一東平
富蘊	幫三C尤去 影合三C文平
富裕	幫三C尤去 以合三虞去
富豪	幫三C尤去 匣開一豪平
富貴	幫三C尤去 見合三C微去
富農	幫三C尤去 泥一冬平
富里	幫三C尤去 來開三之上
富錦	幫三C尤去 見開三B侵上
富陽	幫三C尤去 以開三陽平
富順	幫三C尤去 船合三真去
富餘	幫三C尤去 以開三魚平
寐龍	明三A脂去 來三鍾平
寒亭	匣開一寒平 定開四青平
寒傖	匣開一寒平 崇開二庚平
寒冬	匣開一寒平 端一冬平
寒喧	匣開一寒平 曉合三C元平
寒天	匣開一寒平 透開四先平
寒帶	匣開一寒平 端開一泰去
寒微	匣開一寒平 明三C微平
寒心	匣開一寒平 心開三侵平
寒意	匣開一寒平 影開三C之去
寒戰	匣開一寒平 章開三仙去
寒暄	匣開一寒平 曉合三C元平
寒毛	匣開一寒平 明一豪平
寒流	匣開一寒平 來三尤平
寒潮	匣開一寒平 澄開三宵平
寒磣	匣開一寒平 初開三侵上
寒舍	匣開一寒平 書開三麻上
寒蟬	匣開一寒平 常開三仙平
寒酸	匣開一寒平 心合一寒平
寒門	匣開一寒平 明一魂平
寒露	匣開一寒平 來一模去
寒鴉	匣開一寒平 影開二麻平
寓意	疑合三C虞去 影開三C之去
寓所	疑合三C虞去 生開三魚上
寓言	疑合三C虞去 疑開三C元平
察察	初開二山入 初開二山入
察納	初開二山入 泥開一覃入
察訪	初開二山入 滂三C陽去
察隅	初開二山入 疑合三C虞平
察雅	初開二山入 疑開二麻上
察驗	初開二山入 疑開三B鹽去
寡人	見合二麻上 日開三真平
寡助	見合二麻上 崇開三魚去
寡婦	見合二麻上 並三C尤上
寡情	見合二麻上 從開三清平
寡糖	見合二麻上 定開一唐平
寡言	見合二麻上 疑開三C元平
寡陋	見合二麻上 來一侯去
寡頭	見合二麻上 定一侯平
寢具	清開三侵上 羣合三C虞去
寢室	清開三侵上 書開三真入
寤寐	疑一模去 明三A脂去
實付	船開三真入 幫三C虞去
實例	船開三真入 來開三祭去
實值	船開三真入 澄開三之去
實利	船開三真入 來開三脂去
實則	船開三真入 精開一登入
實力	船開三真入 來開三蒸入
實務	船開三真入 明三C虞去
實名	船開三真入 明三A清平
實地	船開三真入 定開四脂去
實屬	船開三真入 常三鍾入
實幹	船開三真入 見開一寒去
實心	船開三真入 心開三侵平
實情	船開三真入 從開三清平
實惠	船開三真入 匣合四齊去
實意	船開三真入 影開三C之去
實戰	船開三真入 章開三仙去
實拍	船開三真入 滂二庚入
實效	船開三真入 匣開二肴去
實時	船開三真入 常開三之平
實景	船開三真入 見開三B庚上
實根	船開三真入 見開一痕平
實業	船開三真入 疑開三C嚴入
實歲	船開三真入 心合三祭去
實況	船開三真入 曉合三C陽去
實測	船開三真入 初開三蒸入
實物	船開三真入 明三C文入
實現	船開三真入 匣開四先去
實用	船開三真入 以三鍾去
實線	船開三真入 心開三仙去
實習	船開三真入 邪開三侵入
實職	船開三真入 章開三蒸入
實肘	船開三真入 知三尤上
實詞	船開三真入 邪開三之平
實話	船開三真入 匣合二夬去
實誠	船開三真入 常開三清平
實證	船開三真入 章開三蒸去
實變	船開三真入 幫三B仙去
實踐	船開三真入 從開三仙上
實際	船開三真入 精開三祭去
實驗	船開三真入 疑開三B鹽去
實體	船開三真入 透開四齊上
寧化	泥開四青平 曉合二麻去
寧南	泥開四青平 泥開一覃平
寧可	泥開四青平 溪開一歌上
寧國	泥開四青平 見合一登入
寧城	泥開四青平 常開三清平
寧安	泥開四青平 影開一寒平
寧宗	泥開四青平 精一冬平
寧岡	泥開四青平 見開一唐平
寧強	泥開四青平 羣開三C陽平
寧德	泥開四青平 端開一登入
寧明	泥開四青平 明三B庚平
寧晉	泥開四青平 精開三真去
寧武	泥開四青平 明三C虞上
寧江	泥開四青平 見二江平
寧河	泥開四青平 匣開一歌平
寧波	泥開四青平 幫一歌平
寧津	泥開四青平 精開三真平
寧海	泥開四青平 曉開一咍上
寧肯	泥開四青平 溪開一登上
寧蒗	泥開四青平 來開一唐去
寧邊	泥開四青平 幫四先平
寧都	泥開四青平 端一模平
寧鄉	泥開四青平 曉開三C陽平
寧陝	泥開四青平 書開三鹽上
寧陵	泥開四青平 來開三蒸平
寧陽	泥開四青平 以開三陽平
寧靜	泥開四青平 從開三清上
寧願	泥開四青平 疑合三C元去
審判	書開三侵上 滂一寒去
審問	書開三侵上 明三C文去
審察	書開三侵上 初開二山入
審幹	書開三侵上 見開一寒去
審批	書開三侵上 滂四齊平
審改	書開三侵上 見開一咍上
審核	書開三侵上 匣開二耕入
審理	書開三侵上 來開三之上
審級	書開三侵上 見開三B侵入
審結	書開三侵上 見開四先入
審美	書開三侵上 明三B脂上
審計	書開三侵上 見開四齊去
審訊	書開三侵上 心開三真去
審諦	書開三侵上 端開四齊去
審議	書開三侵上 疑開三B支去
審讀	書開三侵上 定一東入
審酌	書開三侵上 章開三陽入
審閱	書開三侵上 以合三仙入
寫信	心開三麻上 心開三真去
寫字	心開三麻上 從開三之去
寫完	心開三麻上 匣合一寒平
寫實	心開三麻上 船開三真入
寫意	心開三麻上 影開三C之去
寫手	心開三麻上 書三尤上
寫法	心開三麻上 幫三C凡入
寫照	心開三麻上 章開三宵去
寫生	心開三麻上 生開三庚平
寬亮	溪合一寒平 來開三陽去
寬免	溪合一寒平 明三B仙上
寬口	溪合一寒平 溪一侯上
寬城	溪合一寒平 常開三清平
寬宏	溪合一寒平 匣合二耕平
寬宥	溪合一寒平 云三C尤去
寬容	溪合一寒平 以三鍾平
寬展	溪合一寒平 知開三仙上
寬帶	溪合一寒平 端開一泰去
寬廣	溪合一寒平 見合一唐上
寬弘	溪合一寒平 匣合一登平
寬待	溪合一寒平 定開一咍上
寬心	溪合一寒平 心開三侵平
寬恕	溪合一寒平 書開三魚去
寬慰	溪合一寒平 影合三C微去
寬敞	溪合一寒平 昌開三陽上
寬斧	溪合一寒平 幫三C虞上
寬暢	溪合一寒平 徹開三陽去
寬曠	溪合一寒平 溪合一唐去
寬洪	溪合一寒平 匣一東平
寬減	溪合一寒平 見開二咸上
寬爽	溪合一寒平 生開三陽上
寬甸	溪合一寒平 定開四先去
寬窄	溪合一寒平 莊開二庚入
寬綽	溪合一寒平 昌開三陽入
寬緩	溪合一寒平 匣合一寒上
寬舒	溪合一寒平 書開三魚平
寬裕	溪合一寒平 以合三虞去
寬貸	溪合一寒平 透開一咍去
寬赦	溪合一寒平 書開三麻去
寬闊	溪合一寒平 溪合一寒入
寬限	溪合一寒平 匣開二山上
寬頻	溪合一寒平 並三A真平
寬餘	溪合一寒平 以開三魚平
寮國	來開四蕭平 見合一登入
寮屋	來開四蕭平 影一東入
寮房	來開四蕭平 並三C陽平
寵信	徹三鍾上 心開三真去
寵妾	徹三鍾上 清開三鹽入
寵愛	徹三鍾上 影開一咍去
寵物	徹三鍾上 明三C文入
寵臣	徹三鍾上 常開三真平
寶典	幫一豪上 端開四先上
寶塔	幫一豪上 透開一談入
寶媽	幫一豪上 明一模上
寶安	幫一豪上 影開一寒平
寶寶	幫一豪上 幫一豪上
寶山	幫一豪上 生開二山平
寶座	幫一豪上 從合一歌去
寶庫	幫一豪上 溪一模去
寶書	幫一豪上 書開三魚平
寶林	幫一豪上 來開三侵平
寶清	幫一豪上 清開三清平
寶潔	幫一豪上 見開四先入
寶爸	幫一豪上 並一歌上
寶物	幫一豪上 明三C文入
寶玉	幫一豪上 疑三C鍾入
寶瓶	幫一豪上 並四青平
寶石	幫一豪上 常開三清入
寶船	幫一豪上 船合三仙平
寶藍	幫一豪上 來開一談平
寶誌	幫一豪上 章開三之去
寶豐	幫一豪上 滂三C東平
寶貝	幫一豪上 幫一泰去
寶貨	幫一豪上 曉合一歌去
寶貴	幫一豪上 見合三C微去
寶貼	幫一豪上 透開四添入
寶鋼	幫一豪上 見開一唐平
寶雞	幫一豪上 見開四齊平
寶馬	幫一豪上 明二麻上
寸口	清合一魂去 溪一侯上
寸晷	清合一魂去 見合三B脂上
寸陰	清合一魂去 影開三B侵平
寸頭	清合一魂去 定一侯平
寺廟	邪開三之去 明三B宵去
專一	章合三仙平 影開三A真入
專人	章合三仙平 日開三真平
專利	章合三仙平 來開三脂去
專制	章合三仙平 章開三祭去
